file,layer_name,type,priority,x,y,width,height,z_index,canvas_width,canvas_height,kv_canvas_width,kv_canvas_height,kv_x,kv_y,kv_width,kv_height,kv_z_index,is_in_kv
BublyPopCorners_300X600.psd,LOGO,LOGO,0,76,151,148,67,2,300,600,,,,,,,,0
BublyPopCorners_300X600.psd,SKUs,PRODUCT,2,0,327,147,273,3,300,600,,,,,,,,0
BublyPopCorners_300X600.psd,CTA,CTA,3,37,527,224,52,4,300,600,,,,,,,,0
BublyPopCorners_728X90.psd,BACKGROUND,BACKGROUND,-1,0,0,728,90,0,728,90,,,,,,,,0
BublyPopCorners_728X90.psd,COPY,TEXT,2,131,15,156,57,1,728,90,,,,,,,,0
BublyPopCorners_728X90.psd,CTA,CTA,3,568,21,145,45,2,728,90,,,,,,,,0
BublyPopCorners_728X90.psd,SKUs,PRODUCT,2,326,3,77,152,3,728,90,,,,,,,,0
BublyPopCorners_728X90.psd,LOGO,LOGO,0,12,26,81,36,4,728,90,,,,,,,,0
BublyPurple_1134X124.psd,BACKGROUND,BACKGROUND,-1,0,0,1134,124,0,1134,124,,,,,,,,0
BublyPurple_1134X124.psd,SKUs,PRODUCT,2,228,3,246,202,1,1134,124,,,,,,,,0
BublyPurple_1134X124.psd,COPY,TEXT,2,506,72,583,47,2,1134,124,,,,,,,,0
BublyPurple_1134X124.psd,PRICE,PRICE,3,509,10,230,53,3,1134,124,,,,,,,,0
BublyPurple_1134X124.psd,LEGAL,LEGAL,3,45,111,77,9,4,1134,124,,,,,,,,0
BublyPurple_1134X124.psd,LOGO,LOGO,0,45,21,160,82,5,1134,124,,,,,,,,0
BublyPurple_1534X512.psd,BACKGROUND,BACKGROUND,-1,0,0,1534,512,0,1534,512,,,,,,,,0
BublyPurple_1534X512.psd,SKUs,PRODUCT,2,895,9,628,707,1,1534,512,,,,,,,,0
BublyPurple_1534X512.psd,COPY,TEXT,2,537,132,341,247,2,1534,512,,,,,,,,0
BublyPurple_1534X512.psd,PRICE,PRICE,3,54,208,423,98,3,1534,512,,,,,,,,0
BublyPurple_1534X512.psd,LEGAL,LEGAL,3,55,469,209,24,4,1534,512,,,,,,,,0
BublyPurple_160X600.psd,BACKGROUND,BACKGROUND,-1,0,0,160,491,0,160,600,,,,,,,,0
BublyPurple_160X600.psd,SKUs,PRODUCT,2,6,244,180,282,1,160,600,,,,,,,,0
BublyPurple_160X600.psd,COPY,TEXT,2,17,139,125,91,2,160,600,,,,,,,,0
BublyPurple_160X600.psd,PRICE,PRICE,3,10,90,141,33,3,160,600,,,,,,,,0
BublyPurple_160X600.psd,LEGAL,LEGAL,3,149,415,8,70,4,160,600,,,,,,,,0
BublyPurple_160X600.psd,LOGO,LOGO,0,35,18,91,47,5,160,600,,,,,,,,0
BublyPurple_160X600.psd,FIXED,FIXED,4,0,490,160,110,6,160,600,,,,,,,,0
BublyPurple_2760X340.psd,BACKGROUND,BACKGROUND,-1,0,0,2760,340,0,2760,340,,,,,,,,0
BublyPurple_2760X340.psd,SKUs,PRODUCT,2,502,13,615,538,1,2760,340,,,,,,,,0
BublyPurple_2760X340.psd,COPY,TEXT,2,1169,30,1496,282,2,2760,340,,,,,,,,0
BublyPurple_2760X340.psd,LOGO,LOGO,0,88,82,355,179,3,2760,340,,,,,,,,0
BublyPurple_2760X340.psd,LEGAL,LEGAL,3,89,304,181,21,4,2760,340,,,,,,,,0
BublyPurple_300X250.psd,BACKGROUND,BACKGROUND,-1,0,0,300,198,0,300,250,,,,,,,,0
BublyPurple_300X250.psd,SKUs,PRODUCT,2,87,10,209,258,1,300,250,,,,,,,,0
BublyPurple_300X250.psd,PRICE,PRICE,3,7,7,167,39,2,300,250,,,,,,,,0
BublyPurple_300X250.psd,COPY,TEXT,2,7,60,96,70,3,300,250,,,,,,,,0
BublyPurple_300X250.psd,LEGAL,LEGAL,3,8,182,64,8,4,300,250,,,,,,,,0
BublyPurple_300X250.psd,FIXED,FIXED,4,-1,194,302,56,5,300,250,,,,,,,,0
BublyPurple_300X50.psd,BACKGROUND,BACKGROUND,-1,0,0,235,50,0,300,50,,,,,,,,0
BublyPurple_300X50.psd,SKUs,PRODUCT,2,59,-1,82,79,1,300,50,,,,,,,,0
BublyPurple_300X50.psd,COPY,TEXT,2,148,22,78,22,2,300,50,,,,,,,,0
BublyPurple_300X50.psd,PRICE,PRICE,3,148,2,78,19,3,300,50,,,,,,,,0
BublyPurple_300X50.psd,LEGAL,LEGAL,3,7,40,44,6,4,300,50,,,,,,,,0
BublyPurple_300X50.psd,LOGO,LOGO,0,8,12,46,23,5,300,50,,,,,,,,0
BublyPurple_300X50.psd,FIXED,FIXED,4,235,0,66,50,6,300,50,,,,,,,,0
BublyPurple_300X600.psd,BACKGROUND,BACKGROUND,-1,0,0,300,530,0,300,600,,,,,,,,0
BublyPurple_300X600.psd,SKUs,PRODUCT,2,15,232,268,380,1,300,600,,,,,,,,0
BublyPurple_300X600.psd,LEGAL,LEGAL,3,287,438,9,80,2,300,600,,,,,,,,0
BublyPurple_300X600.psd,COPY,TEXT,2,28,88,187,138,3,300,600,,,,,,,,0
BublyPurple_300X600.psd,PRICE,PRICE,3,28,15,237,55,4,300,600,,,,,,,,0
BublyPurple_300X600.psd,FIXED,FIXED,4,-2,529,304,71,5,300,600,,,,,,,,0
BublyPurple_320X50.psd,BACKGROUND,BACKGROUND,-1,0,0,256,50,0,320,50,,,,,,,,0
BublyPurple_320X50.psd,SKUs,PRODUCT,2,66,0,88,82,1,320,50,,,,,,,,0
BublyPurple_320X50.psd,COPY,TEXT,2,161,24,83,24,2,320,50,,,,,,,,0
BublyPurple_320X50.psd,PRICE,PRICE,3,161,3,83,20,3,320,50,,,,,,,,0
BublyPurple_320X50.psd,LEGAL,LEGAL,3,9,42,43,6,4,320,50,,,,,,,,0
BublyPurple_320X50.psd,FIXED,FIXED,4,255,0,66,51,5,320,50,,,,,,,,0
BublyPurple_320X50.psd,LOGO,LOGO,0,9,12,52,26,6,320,50,,,,,,,,0
BublyPurple_600X500.psd,BACKGROUND,BACKGROUND,-1,0,0,600,500,0,600,500,,,,,,,,0
BublyPurple_600X500.psd,SKUs,PRODUCT,2,95,12,540,684,1,600,500,,,,,,,,0
BublyPurple_600X500.psd,COPY,TEXT,2,13,124,180,133,2,600,500,,,,,,,,0
BublyPurple_600X500.psd,PRICE,PRICE,3,13,16,370,86,3,600,500,,,,,,,,0
BublyPurple_600X500.psd,LEGAL,LEGAL,3,14,469,125,15,4,600,500,,,,,,,,0
BublyPurple_728X90.psd,BACKGROUND,BACKGROUND,-1,0,0,571,90,0,728,90,,,,,,,,0
BublyPurple_728X90.psd,SKUs,PRODUCT,2,105,1,145,137,1,728,90,,,,,,,,0
BublyPurple_728X90.psd,COPY,TEXT,2,266,57,288,23,2,728,90,,,,,,,,0
BublyPurple_728X90.psd,PRICE,PRICE,3,267,13,162,38,3,728,90,,,,,,,,0
BublyPurple_728X90.psd,LEGAL,LEGAL,3,10,76,78,9,4,728,90,,,,,,,,0
BublyPurple_728X90.psd,LOGO,LOGO,0,10,20,84,42,5,728,90,,,,,,,,0
BublyPurple_728X90.psd,FIXED,FIXED,4,570,0,159,91,6,728,90,,,,,,,,0
BublyPurple_828X340.psd,BACKGROUND,BACKGROUND,-1,0,0,828,340,0,828,340,,,,,,,,0
BublyPurple_828X340.psd,SKUs,PRODUCT,2,343,9,469,487,1,828,340,,,,,,,,0
BublyPurple_828X340.psd,COPY,TEXT,2,24,109,246,178,2,828,340,,,,,,,,0
BublyPurple_828X340.psd,PRICE,PRICE,3,26,19,323,75,3,828,340,,,,,,,,0
BublyPurple_828X340.psd,LEGAL,LEGAL,3,28,313,123,15,4,828,340,,,,,,,,0
